RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Temp_water,pH,DO_mgL,DOSAT,RA_ms_av,RA_ms_di
3,0.6168020000000001,732,0,211,534,36,40,48,271,1061,52,100,0,0,0,0,0,6.367000000000001,17.4666666667,7.006666666669999,NaN,99.0666666667,0.6686816202952208,0.8489531542933055
1,0.17941400000000002,781,0,276,680,86,155,40,270,1142,51,100,0,0,0,0,0,0.303,14.11,6.77,NaN,73.6,0.45294368904392396,0.6665124225813341
4,0.9052469999999999,746,0,298,534,56,27,47,271,1064,52,100,0,0,0,0,0,2.086,8.58590909091,6.574090909090001,NaN,95.5818181818,0.7228842999131525,0.974862491556499
3,0.523767,715,0,256,552,51,45,48,272,1077,51,100,0,0,0,0,0,0.079,21.25,7.35,NaN,NaN,0.6342441451560417,0.902973872332385
5,2.0171799999999998,658,106,299,247,60,7,70,279,1084,35,100,1,0,0,0,0,44.592,20.15,7.01,NaN,NaN,0.8718627534705419,1.226868589104918
5,2.51913,644,258,284,240,72,9,71,279,1077,36,100,0,0,0,0,0,128.15200000000002,10.1704166667,6.88791666667,NaN,102.6865,0.8941083730716066,1.3544413418675783
4,1.18684,612,0,311,188,69,20,77,278,994,51,98,14,6,0,0,0,16.937,19.4,8.09,NaN,NaN,0.6783468423069825,1.1358893920252102
3,0.9404950000000001,679,0,339,331,87,29,72,271,1108,37,90,3,0,0,0,0,42.093999999999994,19.6,8.175,NaN,117.694,0.5714166670524566,1.1822302055025995
3,0.561562,664,0,345,326,107,108,73,271,1073,41,100,5,2,0,0,0,32.56,15.333333333299999,7.75,NaN,100.567333333,0.45358038988612237,0.9883139443069959
4,1.50464,628,0,67,125,30,17,81,278,964,49,89,35,4,0,0,0,16.424,10.2717391304,7.713913043480001,NaN,100.823272727,0.6114859094790777,1.320260461144321
