Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
SP-1 -83.1582457 41.30867614 25.013 12.175 71.991 4 1.37035 4.52 4519.77211265 44.1967 231 0 7 200 1 9 98 271 97 881 51 918 738 107 762 -11 118 -10 15 73 15 0 2 71 75 1 1 0 0 0 0 0 0 0 0 21 24 42 51 37 25 25 24 79 40 79 100 75 4072 5710 0.553 92.479 24.683 30.178 0 1 1915 1600 624 428 205 171 0.047436 4252.01 925 167.502354196 -83.15625 41.3086761572
SP-17 -96.2461608 41.018166 321.052 125.660 730.036 7 3.24495 3.02 3022.79802651 352.549 188 1003 216 348 23 10 102 304 75 781 94 473 663 96 406 -28 66 -55 11 51 14 33 14 64 28 37 51 6 12 0 0 0 0 0 3 24 18 51 38 24 44 27 21 63 13 39 0 8 11057 2061 0.284 4530.628 33.544 20.911 0 1 1424 500 271 225 176 70 0.051859 263813 939 358.386528911 -96.2495527436 41.0162199022
SP-28 -88.433519 33.453633 320.405 87.257 661.207 6 3.12377 2.46 2453.09682937 322.231 672 37 12 52 6 4 169 212 162 1403 74 1440 1042 110 1042 2 118 5 0 1 0 93 63 12 18 5 8 1 1 0 0 0 0 0 0 22 24 34 37 44 40 33 28 79 44 80 100 37 328 1476 0.006 351.928 0.810 25.791 0 1 1264 1100 1035 334 108 97 0.040758 14374.8 793 176.648737101 -88.4354166667 33.4536330145
SP-73 -111.835096 41.721091 1.580 0.309 7.324 3 0.650136 6.00 6010.12029124 5.58033 125 0 352 1390 19 67 88 271 29 470 33 501 402 66 427 -57 153 -43 14 75 44 77 96 23 10 5 13 29 1 0 0 0 0 0 37 20 22 40 42 40 37 27 35 40 39 53 100 100 54 1705 15.717 19.013 1604.751 32.602 100 2 6285 400 3061 223 376 44 0.042655 1286.69 925 421.029630367 -111.839139624 41.7233607174
SP-59 -121.7902816 42.2193114 54.547 18.762 123.694 6 1.73532 10.72 10724.743932 72.0967 153 399 399 1306 47 21 78 206 59 379 58 605 325 51 454 -65 169 -40 13 65 33 36 68 7 3 8 14 16 3 0 0 0 0 0 10 16 12 36 35 48 51 36 46 36 45 53 0 0 344 445 13.545 20.626 306.711 2.302 26 0 5039 100 2216 74 306 22 0.047639 892.798 928 9.08944726228 -121.790193377 42.2193601386
SP-18 -72.941264 44.381086 3.938 2.042 9.748 2 0.623131 5.19 5197.65506685 7.32389 716 0 394 298 117 117 58 287 51 1016 64 1093 707 109 709 16 119 24 26 90 28 100 100 3 2 2 2 0 0 0 0 0 0 0 7 9 9 36 36 54 55 88 89 90 28 92 0 0 287 280 0.426 3.408 30.377 19.480 0 0 797 600 404 120 81 62 0.052646 155.446 948 199.479445137 -72.94375 44.38125
SP-60 -121.9288964 42.12792225 53.305 19.237 119.888 6 1.70247 19.95 19958.7193146 70.3979 207 409 282 1306 45 22 77 202 59 414 63 599 354 54 450 -61 169 -40 17 77 32 56 67 16 4 13 14 30 4 0 0 0 0 1 10 15 12 44 35 41 51 42 46 39 49 53 0 0 488 442 2.232 53.934 25.033 5.611 0 0 839 200 248 105 52 27 0.047639 2517.48 928 64.7985326273 -121.928268718 42.1282700871
SP-65 -95.2725 30.05111111 25.288 6.410 49.185 4 1.23376 4.77 4760.46265507 31.1931 457 1129 21 30 7 6 201 180 196 1233 55 1144 1042 77 967 -14 89 -22 0 1 0 25 73 1 11 2 21 0 0 0 0 0 0 0 12 21 21 37 36 43 42 19 15 76 37 69 0 0 1133 1590 4.546 210.967 306.676 90.302 29 7 5928 2300 3995 886 347 146 0.049515 12241.3 908 40.3983782946 -95.2721837564 30.0513504579
SP-32 -106.524518 35.868558 0.020 0.006 0.049 1 0.0680952 2.13 2132.70394539 0.134272 34 0 676 2852 109 67 38 193 38 667 66 667 562 62 562 -30 123 -30 31 87 31 90 90 1 1 14 14 0 0 0 0 0 0 100 100 10 10 35 35 55 55 73 73 64 33 64 0 0 1064 1064 0.000 0.000 0.000 0.000 0 0 53 100 2 2 23 23 0.043737 0 889 1744.02125192 -106.5125 35.85625
SP-72 -111.795742 41.739034 1.438 0.279 6.838 3 0.564739 13.96 10975.0151085 5.28775 96 0 1150 2017 240 127 46 244 27 504 25 501 430 71 427 -46 155 -42 35 93 45 99 97 8 10 7 13 2 0 0 0 0 0 74 38 22 22 42 42 36 37 36 35 50 43 53 100 100 2649 1721 2.172 2.180 40.668 3.892 4 0 1350 300 674 133 103 35 0.042655 325.288 925 61.007926079 -111.795741982 41.7395833881
