Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
S19S_0047-D -149.40333 68.64278 0.448 0.306 0.690 2 0.173638 18.66 17560.4982906 0.652304 121 0 104 897 83 80 -119 396 -121 228 38 230 216 65 216 -37 181 -35 68 100 67 0 0 0 0 0 0 0 0 0 0 99 100 100 100 16 16 42 42 42 42 146 139 66 27 67 0 0 212 692 0.000 0.000 0.000 0.000 0 0 0 0 79 52 14 11 0.058023 0 948 120.101278294 -149.402083333 68.64375
S19S_0032-U -119.02375 36.95497 0.118 0.019 0.288 1 0.129239 0.93 927.173167514 1.36882 344 0 458 2186 118 2539 69 153 69 832 149 832 542 73 542 -11 176 -11 32 85 32 100 100 1 1 1 1 0 0 0 0 0 0 0 0 13 13 30 30 57 57 49 49 65 73 65 100 100 3376 3376 0.000 0.000 0.000 0.000 0 0 0 0 0 0 0 0 0.055768 0 951 1272.27257409 -119.0125 36.9479166667
CM_077-2 -105.658917 35.776694 0.016 0.006 0.081 2 0.143919 2.17 2165.7953139 0.0981567 14 0 913 2656 169 222 58 186 28 566 75 722 484 52 602 -46 71 -18 22 63 35 100 100 0 0 1 6 0 0 0 0 0 0 0 87 11 11 32 32 57 57 68 77 49 18 72 100 98 572 799 0.000 0.022 0.031 0.158 0 0 0 0 78 18 57 24 0.043737 0.864564 889 43.1383108966 -105.658917003 35.7770833499
S19S_0050-U -149.5972 68.62722 0.391 0.278 0.635 1 0.135738 20.10 20167.1537919 0.523234 130 0 83 799 58 116 -116 399 -116 227 38 227 215 65 215 -38 182 -38 67 100 67 0 0 0 0 0 0 0 0 0 0 99 99 99 99 16 16 44 44 40 40 115 115 65 28 65 0 0 231 231 0.000 0.000 0.000 0.000 0 0 15 0 104 103 25 25 0.058023 0 948 287.539933271 -149.590597828 68.6280986049
CM_077-1 -105.658917 35.776694 0.016 0.006 0.081 2 0.143919 2.17 2165.7953139 0.0981567 14 0 913 2656 169 222 58 186 28 566 75 722 484 52 602 -46 71 -18 22 63 35 100 100 0 0 1 6 0 0 0 0 0 0 0 87 11 11 32 32 57 57 68 77 49 18 72 100 98 572 799 0.000 0.022 0.031 0.158 0 0 0 0 78 18 57 24 0.043737 0.864564 889 43.1383108966 -105.658917003 35.7770833499
CM_090-5 -121.2992935 38.1490173 27.502 2.939 65.555 4 1.3674 7.85 7858.26882382 40.4924 162 1153 14 13 1 9 154 159 105 438 87 1011 370 61 571 -68 160 -9 0 1 21 13 84 55 6 14 20 62 6 0 0 0 0 0 17 21 14 23 31 56 54 47 41 32 55 61 0 0 507 2763 23.197 49.872 754.744 27.463 40 1 5295 400 4960 283 288 66 0.055768 2744.03 951 360.862734336 -121.297916667 38.1520833333
CM_054-1 -121.9284984 45.7922792 0.437 0.095 0.804 1 0.196746 4.16 4162.70905683 0.770433 1486 0 590 570 159 336 85 162 85 2437 404 2437 659 97 659 64 183 64 27 64 27 100 100 0 0 0 0 0 0 0 0 0 0 0 0 20 20 48 48 31 31 90 90 84 52 84 0 0 763 763 0.056 0.056 6.006 6.005 0 0 290 300 27 26 42 42 0.055867 4.65961 948 163.593818765 -121.928498437 45.793750067
CM_009-3 -121.10824 37.7323106 46.720 5.918 108.961 5 1.62604 6.70 6703.88222011 63.9933 123 2409 20 22 2 10 163 176 102 306 59 881 258 44 545 -79 140 -19 0 2 22 73 80 48 7 13 16 75 8 0 0 0 0 0 17 18 15 34 31 48 53 10 37 22 38 58 0 10 398 2542 14.985 113.647 455.559 37.312 35 2 5723 700 2985 409 332 75 0.055768 6373.03 951 77.176634973 -121.108925093 37.7327427653
S19S_0031-D -122.1650676 44.2602628 0.592 0.149 1.026 1 0.207804 5.50 5500.36566989 0.881091 1348 0 561 1053 151 710 68 166 68 1892 298 1892 651 97 651 52 181 52 27 60 27 100 100 0 0 0 0 0 0 0 0 0 0 95 95 10 10 39 39 51 51 106 106 81 56 81 0 0 790 790 0.000 0.000 0.001 0.001 0 0 0 0 20 20 13 13 0.047639 0.002294 928 21.4625934769 -122.164849768 44.260150278
CM_090-4 -121.2992935 38.1490173 27.502 2.939 65.555 4 1.3674 7.85 7858.26882382 40.4924 162 1153 14 13 1 9 154 159 105 438 87 1011 370 61 571 -68 160 -9 0 1 21 13 84 55 6 14 20 62 6 0 0 0 0 0 17 21 14 23 31 56 54 47 41 32 55 61 0 0 507 2763 23.197 49.872 754.744 27.463 40 1 5295 400 4960 283 288 66 0.055768 2744.03 951 360.862734336 -121.297916667 38.1520833333
CM_109-2 -111.580198 41.950688 0.217 0.038 1.063 2 0.21507 6.93 6933.16609206 1.06883 81 0 794 2441 130 335 20 233 16 518 21 537 441 74 456 -38 157 -34 50 100 53 100 96 8 6 16 19 0 0 0 0 0 0 33 36 22 21 42 41 36 38 34 34 57 45 60 100 100 1564 1667 0.000 0.000 0.000 0.005 0 0 272 100 70 28 17 21 0.042588 0.023142 922 87.4319714722 -111.58125 41.9506880048
