,Sample_ID,gid,Sample_Longitude,Sample_Latitude
232,S19S_0053-D,79,-73.00222222,41.869567
233,S19S_0053-M,79,-72.796633,41.869617
234,S19S_0053-U,79,-72.796767,41.869583
235,S19S_0054-D,80,-77.0237,37.57261
236,S19S_0054-M,80,-77.0237,37.57267
237,S19S_0054-U,80,-77.02396,37.5728
238,S19S_0055-D,0,-117.180863,46.732428
239,S19S_0055-M,0,-117.180621,46.732323
240,S19S_0055-U,0,-117.180384,46.7322206
241,S19S_0059-D,81,-117.3915976,48.16874998
242,S19S_0059-M,81,-117.3913007,48.16841972
243,S19S_0059-U,81,-117.3903992,48.16859001
244,S19S_0060-D,82,-119.4768203,46.2531882
245,S19S_0060-M,82,-119.4769597,46.253117
246,S19S_0060-U,82,-119.4772256,46.2530248
247,S19S_0061-D,83,-89.6407,43.1095
248,S19S_0061-M,83,-89.6405,43.1095
249,S19S_0062-D,84,-106.950417,38.544583
250,S19S_0062-M,84,-106.950472,38.544667
251,S19S_0062-U,84,-106.950056,38.544778
252,S19S_0063-D,85,-97.709399,30.250335
253,S19S_0063-M,85,-97.70953,30.250384
254,S19S_0063-U,85,-97.709566,30.250278
255,S19S_0064-D,86,-78.00803,40.61043
256,S19S_0064-M,86,-78.00808,40.64061
257,S19S_0064-U,86,-78.00688,40.61507
258,S19S_0066-D,87,-106.643178,35.19845
259,S19S_0066-M,87,-106.643131,35.198511
260,S19S_0066-U,87,-106.643074,35.198601
261,S19S_0067-D,88,-85.35412,42.3921
262,S19S_0067-M,88,-85.354,42.39201
263,S19S_0067-U,88,-85.35402,42.39193
264,S19S_0068-U,89,-122.257915,44.207269
265,S19S_0069-D,90,-123.735151,39.362202
266,S19S_0069-M,90,-123.734753,39.362129
267,S19S_0069-U,90,-123.734848,39.362343
268,S19S_0070-D,91,-123.752414,39.339914
269,S19S_0070-M,91,-123.752441,39.339892
270,S19S_0070-U,91,-123.752011,39.339682
271,S19S_0071-D,92,-105.458575,40.012917
272,S19S_0071-M,92,-105.4589026,40.0128376
273,S19S_0071-U,92,-105.4588818,40.0129961
274,S19S_0072-D,93,-71.1848201,42.5235645
275,S19S_0072-M,93,-71.18851406,42.5235479
276,S19S_0072-U,93,-71.1854501,42.5233858
277,S19S_0073-D,94,-70.9164986,42.7688065
278,S19S_0073-M,94,-70.9167967,42.7694593
279,S19S_0074-D,95,-119.272998,46.376172
280,S19S_0074-M,95,-119.272953,46.376303
281,S19S_0074-U,95,-119.272955,46.376327
282,S19S_0075-D,96,-119.465555,46.694742
283,S19S_0075-M,96,-119.465591,46.694842
284,S19S_0075-U,96,-119.465706,46.694858
285,S19S_0076-D,97,-119.462605,46.679191
286,S19S_0076-M,97,-119.46257,46.679318
287,S19S_0076-U,97,-119.462645,46.679398
288,S19S_0077-D,98,-105.223141,40.66403
289,S19S_0077-M,98,-105.223622,40.664282
290,S19S_0077-U,98,-105.224786,40.664703
291,S19S_0080-D,99,-106.681374,34.950811
292,S19S_0080-M,99,-106.681271,34.950833
293,S19S_0080-U,99,-106.681382,34.950903
294,S19S_0081-U,100,-76.9259674,38.9603293
295,S19S_0082-D,101,-76.5465418,38.8748619
296,S19S_0082-M,101,-76.5464751,38.8748139
297,S19S_0082-U,101,-76.5464942,38.8749661
298,S19S_0083-D,102,-88.3227,40.31083
299,S19S_0083-M,102,-88.3227,40.31083
300,S19S_0083-U,102,-88.3227,40.31083
301,S19S_0084-D,103,-71.722778,43.954722
302,S19S_0084-M,103,-71.722778,43.954722
303,S19S_0084-U,103,-71.722778,43.954722
304,S19S_0085-D,104,-115.9902503,43.6479639
305,S19S_0085-M,104,-115.98908,43.64815
306,S19S_0085-U,104,-115.98891,43.64819
307,S19S_0086-D,105,-111.8064,40.7797
308,S19S_0086-M,105,-111.8054,40.7799
309,S19S_0086-U,105,-111.8054,40.7801
310,S19S_0087-D,106,-116.7743431,43.1233451
311,S19S_0087-M,106,-116.7744702,43.1233625
312,S19S_0087-U,106,-116.7745057,43.1231912
313,S19S_0089-D,107,-80.44539,37.21008
314,S19S_0089-M,107,-80.44529,37.21012
315,S19S_0089-U,107,-80.44513,37.21014
316,S19S_0090-D,108,-75.930606,37.291383
317,S19S_0090-M,108,-75.930615,37.291374
318,S19S_0090-U,108,-75.930807,37.291396
319,S19S_0097-D,109,-111.8865,41.720847
320,S19S_0097-M,109,-111.886477,41.720805
321,S19S_0097-U,109,-111.88642,41.720744
322,S19S_0098-D,110,-111.580533,41.950204
323,S19S_0098-M,110,-111.580451,41.950345
324,S19S_0098-U,110,-111.580465,41.950373
325,S19S_0099-D,111,-84.7119066,39.2385932
326,S19S_0099-M,111,-84.7121004,39.2386399
327,S19S_0099-U,111,-84.7123967,39.2386771
328,S19S_0100-D,112,-106.950961,38.92352
329,S19S_0100-M,112,-106.950743,38.922712
330,S19S_0100-U,112,-106.95145,38.922389
331,SSS001-1,113,-120.5731,46.0417
332,SSS001-2,113,-120.5731,46.0417
333,SSS001-3,113,-120.5731,46.0417
334,SSS002-1,114,-120.5476,46.0959
335,SSS002-2,114,-120.5476,46.0959
336,SSS002-3,114,-120.5476,46.0959
337,SSS003-1,115,-120.4811,46.2059
338,SSS003-2,115,-120.4811,46.2059
339,SSS003-3,115,-120.4811,46.2059
340,SSS004-1,116,-120.8161,46.6659
341,SSS004-2,116,-120.8161,46.6659
342,SSS004-3,116,-120.8161,46.6659
343,SSS005-1,117,-120.4612,46.5814
344,SSS005-2,117,-120.4612,46.5814
345,SSS005-3,117,-120.4612,46.5814
346,SSS006-1,118,-120.6206,46.6218
347,SSS006-2,118,-120.6206,46.6218
348,SSS006-3,118,-120.6206,46.6218
349,SSS007-1,119,-121.1237,46.6646
350,SSS007-2,119,-121.1237,46.6646
351,SSS007-3,119,-121.1237,46.6646
352,SSS008-1,120,-121.0893,46.6592
353,SSS008-2,120,-121.0893,46.6592
354,SSS008-3,120,-121.0893,46.6592
355,SSS009-1,121,-121.1511,46.6168
356,SSS009-2,121,-121.1511,46.6168
357,SSS009-3,121,-121.1511,46.6168
358,SSS010-1,122,-121.0675,46.8095
359,SSS010-2,122,-121.0675,46.8095
360,SSS010-3,122,-121.0675,46.8095
361,SSS011-1,123,-121.0672,46.8099
362,SSS011-2,123,-121.0672,46.8099
363,SSS011-3,123,-121.0672,46.8099
364,SSS012-1,124,-120.8178,46.7521
365,SSS012-2,124,-120.8178,46.7521
366,SSS012-3,124,-120.8178,46.7521
367,SSS013-1,125,-119.474,46.2554
368,SSS013-2,125,-119.474,46.2554
369,SSS013-3,125,-119.474,46.2554
370,SSS014-1,126,-119.9999,46.232
371,SSS014-2,126,-119.9999,46.232
372,SSS014-3,126,-119.9999,46.232
373,SSS015-1,127,-120.4704,46.5302
374,SSS015-2,127,-120.4704,46.5302
375,SSS015-3,127,-120.4704,46.5302
376,SSS016-1,128,-120.7135,46.7288
377,SSS016-3,128,-120.7135,46.7288
378,SSS017-1,129,-120.6553,46.6856
379,SSS017-2,129,-120.6553,46.6856
380,SSS017-3,129,-120.6553,46.6856
381,SSS018-1,130,-121.1357,47.0171
382,SSS018-2,130,-121.1357,47.0171
383,SSS018-3,130,-121.1357,47.0171
384,SSS019-1,131,-121.1285,47.0195
385,SSS019-2,131,-121.1285,47.0195
